module_id,module_name,category,registered,scientific_target,supplied_or_computed,current_operational_state,canonical_method_established,governed_structure_available_on_corpus,calibration_state,parameter_provenance_state,real_corpus_execution_state,voting,legacy_route_reachable,run35_validation_eligibility
A3.6,Cost Risk Analysis P80,Cost Risk,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A3.7,Analogous Estimating Ratio,Cost Risk,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A3.8,Parametric Cost Index,Cost Risk,YES,YES,COMPUTED,DISABLED_UNSAFE,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,NO_PRODUCTION_ROUTE,STRUCTURE_OR_DATA_ABSENT
A3.9,Inflation Adjustment Index,Cost Risk,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.1,Document Risk Score,Document-Derived Condition Signals,YES,YES,SUPPLIED,ADVISORY_ONLY,YES,NO,NO_TUNABLE_VALUE,NO_PARAMETER_ROW,NOT_COMPUTED_SUPPLIED_FIELD,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.2,RFI Velocity,Document-Derived Condition Signals,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.3,Submittal Rejection Rate,Document-Derived Condition Signals,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.4,NCR Rate,Document-Derived Condition Signals,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.5,Weather Day Impact,Document-Derived Condition Signals,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.6,Change Order Frequency,Document-Derived Condition Signals,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.7,Dispute Escalation Index,Document-Derived Condition Signals,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.8,Subcontractor Performance,Document-Derived Condition Signals,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.9,Procurement Lead Time Monitor,Document-Derived Condition Signals,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A4.10,Specification Conflict Density,Document-Derived Condition Signals,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A5.1,DSM Rework Propagation,System Dynamics & Complexity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A5.2,Sensitivity Analysis,System Dynamics & Complexity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A5.3,Tornado Risk Ranking,System Dynamics & Complexity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A5.4,Scenario Modeling,System Dynamics & Complexity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A5.5,Rework Feedback Loop,System Dynamics & Complexity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A5.6,Queueing Theory Bottleneck,System Dynamics & Complexity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A5.7,Agent-Based Supply Chain,System Dynamics & Complexity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A5.8,Discrete Event Simulation,System Dynamics & Complexity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A6.1,Quality Compliance Index,Delivery Quality Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,YES,NO_CALIBRATION_SET,UNSUPPORTED,COMPUTES,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A6.2,Safety Performance Index,Delivery Quality Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,YES,NO_CALIBRATION_SET,UNSUPPORTED,COMPUTES,NO,N/A,PARTIAL_REFERENCE_STANDARD
A6.3,Environmental Compliance Rate,Delivery Quality Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,YES,NO_CALIBRATION_SET,UNSUPPORTED,COMPUTES,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A6.4,Contractor Performance Assessment Signal,Delivery Quality Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B1.1,Conservative Dominance,Signal Synthesis,YES,YES,COMPUTED,ADVISORY_ONLY,NO_DECLARED_STRUCTURE_KEY,NO,NO_TUNABLE_VALUE,NO_PARAMETER_ROW,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B1.2,Weighted Voting,Signal Synthesis,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B1.3,Majority Rules,Signal Synthesis,YES,YES,COMPUTED,ADVISORY_ONLY,NO_DECLARED_STRUCTURE_KEY,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B1.4,Worst-N-of-M,Signal Synthesis,YES,YES,COMPUTED,ADVISORY_ONLY,NO_DECLARED_STRUCTURE_KEY,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.1,Dempster-Shafer,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.2,Rough Sets,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.3,Neutrosophic Logic,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.4,Interval Fuzzy Sets,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.5,Z-numbers,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.6,PLTS,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.7,Plithogenic Sets,Evidence Combination,YES,YES,COMPUTED,DISABLED_UNSAFE,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,NO_PRODUCTION_ROUTE,STRUCTURE_OR_DATA_ABSENT
B2.8,Belief Rule Base,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.9,Quantum Probability,Evidence Combination,YES,YES,COMPUTED,DISABLED_UNSAFE,NO_DECLARED_STRUCTURE_KEY,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,NO_PRODUCTION_ROUTE,STRUCTURE_OR_DATA_ABSENT
B2.10,Pythagorean Fuzzy Sets,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.11,Picture Fuzzy Sets,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.12,Hesitant Fuzzy Sets,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.13,Type-2 Fuzzy Sets,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.14,Maximum Entropy,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.15,Possibility Theory,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.16,Spherical Fuzzy Sets,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.17,Fermatean Fuzzy Sets,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.18,MARCOS Ranking,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.19,CRITIC-TOPSIS,Evidence Combination,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B2.20,Hypersoft Sets,Evidence Combination,YES,YES,COMPUTED,DISABLED_UNSAFE,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,NO_PRODUCTION_ROUTE,STRUCTURE_OR_DATA_ABSENT
B3.1,Agent-Based Governance Model,Regulatory & Authority Thresholds,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_TUNABLE_VALUE,NO_PARAMETER_ROW,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B3.2,FAR/Agency EVMS Applicability Monitor,Regulatory & Authority Thresholds,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B3.3,Versioned A-11 Capital Programming Conformance Check,Regulatory & Authority Thresholds,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B3.4,EVMS Reporting Compliance Monitor,Regulatory & Authority Thresholds,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B3.5,Contract Modification Governance Check,Regulatory & Authority Thresholds,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B4.1,Multi-Objective Optimization,Decision Optimization,YES,YES,COMPUTED,DISABLED_UNSAFE,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,NO_PRODUCTION_ROUTE,STRUCTURE_OR_DATA_ABSENT
B4.2,Linear Programming,Decision Optimization,YES,YES,COMPUTED,DISABLED_UNSAFE,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,NO_PRODUCTION_ROUTE,STRUCTURE_OR_DATA_ABSENT
B4.3,Constraint Satisfaction Analysis,Decision Optimization,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B4.4,What-If Scenario Matrix,Decision Optimization,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
B4.5,Decision Sensitivity Matrix,Decision Optimization,YES,YES,COMPUTED,DISABLED_UNSAFE,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,NO_PRODUCTION_ROUTE,STRUCTURE_OR_DATA_ABSENT
B4.6,Pareto Frontier Analysis,Decision Optimization,YES,YES,COMPUTED,DISABLED_UNSAFE,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,NO_PRODUCTION_ROUTE,STRUCTURE_OR_DATA_ABSENT
B4.7,Minimax Regret Decision Rule,Decision Optimization,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_TUNABLE_VALUE,NO_PARAMETER_ROW,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
C1.1,Missing Data Index,Data Integrity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
C1.2,Data Timeliness Score,Data Integrity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
C1.3,Source Reliability Weighting,Data Integrity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
C1.4,Audit Trail Completeness,Data Integrity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
C1.5,Information Completeness Ratio,Data Integrity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
C1.6,Cross-document Consistency Score,Data Integrity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
C1.7,Reporting Frequency Index,Data Integrity,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
D1.1,Isolation Forest,Portfolio Health,YES,YES,COMPUTED,PORTFOLIO_ADVISORY,YES,NO,NO_CALIBRATION_SET,PUBLISHED_METHOD_PARAMETER;THEORETICAL_CONSTANT;UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
D1.2,Portfolio Outlier Detection,Portfolio Health,YES,YES,COMPUTED,PORTFOLIO_ADVISORY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
D1.3,Signal Trajectory Classifier,Portfolio Health,YES,YES,COMPUTED,PORTFOLIO_ADVISORY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
D1.4,Cross-project Pattern Detector,Portfolio Health,YES,YES,COMPUTED,PORTFOLIO_ADVISORY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
D1.5,Anomaly Score,Portfolio Health,YES,YES,COMPUTED,PORTFOLIO_ADVISORY,YES,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A3.4,Material Cost Variance,Cost Risk,YES,NO,COMPUTED,DISABLED_EVIDENCE_UNDER_REVIEW,NO_DECLARED_STRUCTURE_KEY,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,NO_PRODUCTION_ROUTE,STRUCTURE_OR_DATA_ABSENT (recorded for completeness; NOT one of the 100 scientific targets)
